company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
AllyO,SF Bay Area,HR,,,2020-04-03,Series B,United States,64
AskNicely,Portland,Support,,,2020-04-07,Series A,United States,15
Orbit,SF Bay Area,Other,,,2022-08-12,Series A,United States,20
Booktopia,Sydney,Retail,,,2022-06-28,Series A,Australia,23
Alto Pharmacy,SF Bay Area,Healthcare,,,2022-07-14,Series E,United States,560
Truepill,SF Bay Area,Healthcare,,,2022-04-14,Series D,United States,255
Truepill,SF Bay Area,Healthcare,,,2022-09-30,Series D,United States,255
kununu,Boston,Recruiting,,,2020-08-26,Acquired,United States,
The Appraisal Lane,Montevideo,Transportation,,,2020-08-07,Seed,Uruguay,1.8
The Muse,New York City,Recruiting,,,2020-04-03,Series B,United States,28
Yapily,London,Finance,,,2022-12-01,Series A,United Kingdom,69
Yoco,Cape Town,Finance,,,2020-04-29,Series B,South Africa,23
StreetBees,London,Data,,,2022-12-20,Unknown,United Kingdom,63
Aura Financial,SF Bay Area,Finance,,,2020-04-14,Unknown,United States,584
Picnic,Seattle,Food,,,2023-02-01,Unknown,United States,52
Skillz,SF Bay Area,Consumer,,,2022-08-29,Post-IPO,United States,287
Catalyst,New York City,Support,,,2022-07-21,Series B,United States,45
Aware,Columbus,Security,,,2023-01-06,Series C,United States,88
Icertis,Seattle,Legal,,,2023-01-19,Unknown,United States,521
Datto,Norwalk,Infrastructure,,,2020-05-12,Acquired,United States,100
Kapten / Free Now,Paris,Transportation,,,2020-05-21,Acquired,France,100
Fungible,SF Bay Area,Crypto,,,2022-08-29,Series C,United States,310
TaxBit,Salt Lake City,Crypto,,,2022-12-13,Series B,United States,235
First AML,Auckland,Finance,,,2022-10-06,Series B,New Zealand,29
WeWork,Shenzen,Real Estate,,,2020-09-23,Series H,China,19500
Hoxhunt,Helsinki,Security,,,2023-01-29,Series B,Finland,43
Voly,Sydney,Food,,,2022-11-10,Seed,Australia,13
Homebound,SF Bay Area,Real Estate,,,2022-12-02,Unknown,United States,128
Vacasa,Portland,Travel,,,2020-03-20,Series C,United States,526
Trade Republic,Berlin,Finance,,,2022-06-09,Series C,Germany,1200
Alerzo,Ibadan,Retail,,,2022-09-02,Series B,Nigeria,16
CareerArc,Los Angeles,HR,,,2023-01-06,Private Equity,United States,30
HumanForest,London,Transportation,,,2020-09-25,Private Equity,United Kingdom,1.54
Menulog,Sydney,Food,,,2022-11-24,Acquired,Australia,
Casper,New York City,Retail,,,2021-09-14,Post-IPO,United States,339
Truckstop.com,Boise,Logistics,,,2023-03-02,Acquired,United States,
Studio,SF Bay Area,Education,,,2022-11-03,Series B,United States,50
LinkedIn,SF Bay Area,HR,,,2023-02-13,Acquired,United States,154
Levelset,New Orleans,Construction,,,2020-04-01,Series C,United States,46
